#{"t_start": 1582659054.1616294, "env_id": "nailbot-v0"}
r,l,t
12.415732,11,2.25212
12.783593,11,3.49035
14.016155,11,4.745971
20.230101,11,6.064636
16.931713,11,7.325866
13.39461,11,8.567928
12.776005,11,9.850293
13.725827,11,10.957473
10.929549,11,12.2088
10.510135,11,13.370158
12.67909,11,14.510444
15.404561,11,15.632513
14.205775,11,16.768182
11.3097,11,17.898741
10.677589,11,18.99154
13.130827,11,20.108964
12.037291,11,21.311091
11.678939,11,22.464572
12.179245,11,23.67941
10.984398,11,24.866108
14.448118,11,26.007687
14.390378,11,27.210602
14.002845,11,28.470902
12.036734,11,30.042329
11.608357,11,31.292568
35.366668,11,32.558985
13.423173,11,33.718491
13.339469,11,34.927063
11.702408,11,36.097098
13.800815,11,37.147885
11.941095,11,38.315025
13.270942,11,39.461558
11.023354,11,40.611907
12.676983,11,41.772343
11.040469,11,42.911471
12.453976,11,44.035412
16.500307,11,45.107562
20.590834,11,46.217489
19.224756,11,47.425124
12.213067,11,48.512648
12.603253,11,49.608266
11.601838,11,50.675561
11.288968,11,51.830688
20.484365,11,53.081166
11.680103,11,54.223027
12.751552,11,55.407836
11.578196,11,56.685072
11.489779,11,57.677061
13.756033,11,58.769219
18.082331,11,59.918831
20.83812,11,61.102712
11.864464,11,62.200726
11.974848,11,63.412479
17.210288,11,64.699832
19.049346,11,65.919155
25.268871,11,67.20264
13.674948,11,68.395576
14.811543,11,69.467881
12.48575,11,70.565792
12.091831,11,71.790476
14.989999,11,73.002571
14.876971,11,74.188375
13.893267,11,75.38986
13.006994,11,76.399489
11.008273,11,77.509423
12.153975,11,78.644979
12.031322,11,79.83952
11.731827,11,81.010994
14.225496,11,82.256613
12.80775,11,83.640961
12.470733,11,84.839029
20.601263,11,86.123471
11.597023,11,87.103619
11.933699,11,88.206055
12.995836,11,89.287405
16.275066,11,90.444402
14.501374,11,91.563365
15.418017,11,92.752045
11.21363,11,93.913638
18.03007,11,95.198432
14.155107,11,96.318786
12.74348,11,97.367246
10.877313,11,98.451077
13.783976,11,99.721356
14.202429,11,100.951869
11.28004,11,102.060142
15.124444,11,103.313575
11.260118,11,104.415778
15.487488,11,105.612342
12.558017,11,106.775075
13.507083,11,107.965558
12.295267,11,109.06663
11.414651,11,110.106738
13.118401,11,111.429267
22.24179,11,112.615276
24.320093,11,113.66791
18.537688,11,114.828501
13.59031,11,115.820016
16.385672,11,116.733377
12.440815,11,117.860831
20.234028,11,118.902488
14.384829,11,120.12476
13.39407,11,121.359136
12.16378,11,122.53545
12.504469,11,123.539354
11.311857,11,124.471572
14.046457,11,125.661557
12.906503,11,126.811684
10.942783,11,127.977421
11.561932,11,129.072644
11.068821,11,130.127503
15.571299,11,131.329982
11.811849,11,132.599411
12.1171,11,133.799735
13.280046,11,134.930766
10.524279,11,135.863182
17.596784,11,137.134735
11.787096,11,138.032829
19.000423,11,139.11408
11.125493,11,140.270609
12.752218,11,141.501876
11.265552,11,142.678354
19.134088,11,143.935317
15.560461,11,145.132624
12.570341,11,146.259563
20.062148,11,147.52436
11.112437,11,148.705872
11.931209,11,149.899668
11.711311,11,151.111633
11.588975,11,152.269681
14.281345,11,153.518959
28.385285,11,154.743922
13.139139,11,155.891917
14.583462,11,157.028246
10.924734,11,158.079608
11.10847,11,159.186479
21.676695,11,160.480747
12.779565,11,161.740397
12.847095,11,162.961272
22.754152,11,164.333642
13.147937,11,165.611081
